"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
142,2020,"LX",1831,"business","ATH","ZRH",1,"USD",500,37.93640137,23.94449997,"GR",47.458056,8.548056,"CH",1640.971578,0.304697538
143,2020,"LX",1838,"business","ZRH","ATH",1,"USD",500,47.458056,8.548056,"CH",37.93640137,23.94449997,"GR",1640.971578,0.304697538
144,2020,"LX",3570,"business","ZRH","VIE",1,"USD",300,47.458056,8.548056,"CH",48.110298,16.5697,"AT",604.1010393,0.496605668
145,2020,"",NA,"business","DME","ZRH",1,"USD",800,55.40879822,37.90629959,"RU",47.458056,8.548056,"CH",2200.184098,0.363605937
146,2020,"LX",1055,"business","HAM","ZRH",1,"USD",300,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.431918798
147,2020,"LX",1056,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
148,2020,"LX",1305,"business","LED","GVA",1,"USD",800,59.8003006,30.26250076,"RU",46.23809814,6.108950138,"CH",2189.472746,0.365384772
149,2020,"LX",1310,"business","ZRH","LED",1,"USD",700,47.458056,8.548056,"CH",59.8003006,30.26250076,"RU",1968.407853,0.355617358
150,2020,"LX",1326,"business","ZRH","DME",1,"USD",800,47.458056,8.548056,"CH",55.40879822,37.90629959,"RU",2200.184098,0.363605937
151,2020,"LX",2817,"business","GVA","ZRH",1,"USD",200,46.23809814,6.108950138,"CH",47.458056,8.548056,"CH",230.0429707,0.869402788
152,2020,"OS",569,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
153,2020,"OS",570,"business","ZRH","VIE",1,"USD",300,47.458056,8.548056,"CH",48.110298,16.5697,"AT",604.1010393,0.496605668
